2025-10-02 10:50:57,492 - ERROR - Error connecting to Binance: APIError(code=-2015): Invalid API-key, IP, or permissions for action.
2025-10-02 11:01:45,385 - ERROR - Error connecting to Binance: APIError(code=-2015): Invalid API-key, IP, or permissions for action.
2025-10-02 11:02:13,628 - ERROR - Error connecting to Binance: APIError(code=-2015): Invalid API-key, IP, or permissions for action.
2025-10-02 11:58:09,691 - ERROR - Error connecting to Binance: APIError(code=-2015): Invalid API-key, IP, or permissions for action.
2025-10-02 11:59:19,565 - ERROR - API key and secret must be set in the .env file.
2025-10-02 11:59:56,720 - ERROR - Error connecting to Binance: APIError(code=-2015): Invalid API-key, IP, or permissions for action.
2025-10-02 12:18:09,841 - ERROR - Error connecting to Binance: APIError(code=-2015): Invalid API-key, IP, or permissions for action.
2025-10-02 13:20:53,334 - ERROR - Error connecting to Binance: APIError(code=-2015): Invalid API-key, IP, or permissions for action.
2025-10-02 13:22:01,775 - ERROR - Error connecting to Binance: APIError(code=-2015): Invalid API-key, IP, or permissions for action.
2025-10-02 13:23:35,020 - ERROR - Error connecting to Binance: APIError(code=-2015): Invalid API-key, IP, or permissions for action.
2025-10-03 16:36:11,834 - ERROR - Error connecting to Binance: APIError(code=-2015): Invalid API-key, IP, or permissions for action.
